bedrijfsnaam;website;plaats;diensten;seo_bevindingen;geschat_aantal_medewerkers;overige_bedrijfsgegevens;laatst_gecheckt
JHF Bouw;dakdekker-amsterdam.nl;Amsterdam;dakbedekking plat dak, dakbedekking hellend dak, dakrenovatie, dakisolatie (schuin/plat/dakkapel), dakgoten, dakreparatie, EPDM, PVC, TPO, shingles, leien dak, rieten dak;title: Dakdekker in Amsterdam nodig? | JHF Bouw;meta beschrijving aanwezig;H1/H2 structuur goed;sitemap.xml aanwezig
Spanhak Dakwerken;spanhakdakwerken.nl;Lelystad;dakrenovatie, zinkwerk, dakisolatie, dakgoot, dakreparatie, dakonderhoud, platte daken, shingles;title: Dakdekker Lelystad: dakwerk en onderhoud - Spanhak Dakwerken;meta beschrijving aanwezig;H1/H2 structuur goed;robots.txt aanwezig
Dakleeuw;dakleeuw.nl;Amsterdam (vestiging)/Haarlem;dakbedekking (plat dak, hellend dak), dakrenovatie, dakisolatie, dakonderhoud, dakkapel, EPDM dakbedekking, TPO dakbedekking, zonnepanelen montage;title: Dakleeuw Dakdekker - Dakrenovatie, Dakonderhoud en Dakisolatie;meta beschrijving aanwezig;H1: Uw Specialist in Dak, renovatie, onderhoud en isolatie;sitemap.xml aanwezig (~12 pagina)
The British Roofer;thebritishroofer.nl;Amsterdam;bitumen daken, schoorsteenrenovatie, zinkwerk, pannendak, dakrandrenovatie, fogmachine test, Velux ramen, loodwerk, schoorsteenverwijderingen, vogelwersystemen;title: The British Roofer – Expert Roofing – The Netherlands;GEEN meta description;H1 afwezig;12 H2's (dienstenlijst als H2's)
Koopmans Dakgoten;koopmansdakgoten.nl;Noord-Holland (werkgebied: Zuid-Holland, Noord-Holland, Utrecht);zinken dakgoten op maat, gootreparatie, gootrenovatie, EPDM, PVC, loodgieterswerk;title: Zinken dakgoot reparatie & renovatie - Koopmans dakgoten;meta beschrijving aanwezig;GEEN H1 (alleen H2's: 5);robots.txt aanwezig
Roofix Dakdekkers;roofix-dakdekkers.nl;Amsterdam (hoofdkantoor) + vestigingen Den Haag, Haarlem, Rotterdam, Utrecht;bitumen dak, dakgoot renovatie, daklekkage, dakrenovatie, dakreparatie, dakkapel renovatie, EPDM dak, nokvorst renovatie, pannendak renovatie, platte daken, schoorsteen renovatie, stormschade;title: Erkende dakdekker 24/7 - Nieuwbouw, renovatie & onderhoud. (GRATIS dakinspectie);meta beschrijving aanwezig;GEEN H1 (7 H2's);robots.txt aanwezig
Kroes Leidekkers;kroesleidekkers.nl;Amsterdam;natuurleien, eternietleien, monumentaal dakwerk, leien dakbedekking, Rijndekking, Maasdekking;title: Welkom bij kroesleidekkers.nl (geen SEO-geoptimaliseerde titel);meta beschrijving aanwezig;H1 aanwezig op homepage;H2/H3 structuur op producten pagina
Dakdekker Jan;dakdekkerjan.nl;Amersfoort;dakbedekking, dakreparatie, dakrenovatie, dakonderhoud, daklekkageherstel, dakisolatie;title: Dakdekker Jan - Dakdekkersbedrijf - Gratis Dakinspectie - Dakreparatie - Dakrenovatie - Dakbedekking - Dakonderhoud - Daklekkage;meta beschrijving aanwezig;H1 aanwezig;9 H2's (goede structuur)
Dakdekkers 24/7;dakdekkers247.nl;Haarlem;dakbedekking, dakrenovatie, dakreparatie, dakisolatie, dakgoot, leien dak, EPDM, PVC, TPO, shingles, onderhoud, daklekkage;title: Dakdekker Haarlem nodig? Dakdekkersbedrijf Dakdekker 24/7;meta beschrijving aanwezig;H1 aanwezig;meerdere H2's (goede structuur)
Buddingh Dak;buddingh-dak.nl;Amsterdam;dakbedekking, dakvormen (hellend/plat dak, dakterras), dakisolatie, koper, bitumen, bitumenleien, leisteen, lood en zink, kunststof, dreentegels, dakpannen, dakafwerking, waterafvoeren, doorvoeren, lichtkoepels, dakkapellen, onderhoud, contract, inspectie, veiligheid;title: 020-6113446 Buddingh Dakdekkersbedrijf;meta beschrijving aanwezig;H1/H2 structuur goed;sitemap.xml aanwezig
AJ Dakwerken;ajdakwerken.nl;Hilversum;dakpannen, bitumen, shingles, kunststof daken, dakinspectie;"""title: AJ Dakwerken - 10 jaar garantie";meta beschrijving aanwezig;GEEN H1;sitemap.xml aanwezig
Dakdekker Diemen;dakdekkerdiemen.nl;Diemen;daklekkage, dakreparatie, dakrenovatie, 24/7 spoedservice, vaste tarieven;"""title: Dakdekker Diemen | 24/7 Service";meta beschrijving aanwezig;"H1: Dakdekker Diemen""""""";sitemap.xml aanwezig
Dakdienst VanGelder;dakdienst-vangelder.nl;Nederland (landelijk);dakreparatie, daklekkage, bitumen, EPDM, 24/7 spoedservice;"""title: Dakdekker Nederland | Dakdienst VanGelder";meta beschrijving aanwezig;GEEN H1;robots.txt aanwezig
Stiphout Dakbeheer;stiphoutdakbeheer.nl;Onbekend (telefoon 085);daklekkage reparatie, dakonderhoud, dakbeheer;"""title: Stiphout Dakbeheer";GEEN meta description;GEEN H1;"H2: Offerte aanvragen"""""""
Tolmeijer Dakdekkers;tolmeijerdakdekkers.nl;Haarlem;dakbedekking, dakreparatie, dakisolatie, loodwerk, zinkwerk, schoorsteenrenovatie, EPDM, PVC, TPO;"""title: Tolmeijer Dakdekkers in Haarlem – Meer dan 20 jaar ervaring";meta beschrijving aanwezig;"H1: Dakdekker Haarlem – Tolmeijer Dakdekkers""""""";robots.txt aanwezig
Zinkpartners;zinkpartners.nl;Amsterdam;zinkwerk, loodwerk, koperwerk, dakgoten, maatwerkdaken, zinken dakkapellen, torendaken;"""title: Zinkpartners – dakwerk, ons vakwerk";meta beschrijving aanwezig;GEEN H1;"H2: ZINKPARTNERS Creatieve mogelijkheden"""""""
Zeegers Dakwerk;zeegersdakwerk.nl;Amstelveen;dakbedekking, dakisolatie, zinkwerk, zinken dakgoten, dakinspectie, daklekkage, dakonderhoud, dakrenovatie;"""title: Dakdekker Amstelveen en omstreken | Zeegers Dakwerk";meta beschrijving aanwezig;GEEN H1;"H2: Uw ervaren dakdekker in de buurt"""""""
B&M Dak-Totaal;benmdaktotaal.nl;Geertuigen (Brabant/Midden-Nederland);platte daken, bitumen daken, daklekkage, isolatie, sedumdaken, dakbeheer, dakisolatie, dakinspectie, onderhoud, pannendaken, groendaken;"""title: B&M Dak-Totaal | Erkend dakdekkersbedrijf voor platte daken";meta beschrijving aanwezig;H1 aanwezig (1x);H2: 12 H2's (goede structuur)
AKC Dakdekkers Amsterdam;dakdekkersamsterdam.nl;Amsterdam;dakreparatie, dakbedekking, bitumen daken, EPDM, daklekkages, dakrenovatie, bitumen leien, dakinspectie;"""title: Dakreparatie & Dakdekker Amsterdam - AKC Dakdekkers Amsterdam";meta beschrijving aanwezig;H1: 1 (Dakdekker Amsterdam);H2: 13 (goede structuur: diensten, regio Amsterdam, tarieven, projecten)
DKH Dakdekkers Diemen;dakdekkersdiemen.nl;Diemen;dakrenovatie, dakreparatie, dakgoten, dakinspectie, lekkage spoedservice, stormschade;title: DKH Dakdekkers Diemen | Dakdekkersbedrijf voor alle daken;meta beschrijving aanwezig;"H1: 1 (Ervaren Dakdekker in Diemen"""")""";8 H2's (goede structuur)
Dakdekker Amsterdam 24/7;dakdekkeramsterdam24.nl;Amsterdam;dakbedekking, dakpannen, bitumen, shingles, kunststof daken, plat dak, hellend dak, dakonderhoud, daklekkage;title: Dakdekker Amsterdam 24/7 - De beste dakdekker van Amsterdam en omstreken!;meta beschrijving aanwezig;H1 aanwezig;geen H2 gevonden
Dakdekker Amsterdam;mrdakdekkeramsterdam.nl;Amsterdam;dakbedekking, dakinspectie, daklekkage, dakrenovatie, dakreparatie, kostenadvies;title: Dakdekker Amsterdam · Gratis Dakinspectie · Snel Geholpen · 24/7 · 020 290 34 46;meta beschrijving aanwezig;H1/H2 structuur goed;schema.org LocalBusiness aanwezig
Korff Dakwerken;korffdakwerken.nl;Volendam;dakmanagement, dakonderhoud, dakrenovatie, dakbeheer;title: Korff Dakwerken Volendam | Dakmanagement & Renovatie;meta beschrijving aanwezig;schema.org BreadcrumbList aanwezig;sitemap.xml aanwezig
Dakdekker Amsterdam;dakdekkeramsterdam.net;Amsterdam;dakbedekking, dakreparatie, dakrenovatie, dakisolatie, zinkwerk, loodwerk, gootwerk, PV-aansluiting;title: Dakdekker Amsterdam;10+ jaar ervaring;meta beschrijving aanwezig;schema.org HomeAndConstructionBusiness + Organization + ContactPoint aanwezig
Dakservice Van Gelder;dakservice-vangelder.nl;Amsterdam (werkgebied heel Nederland);dakbedekking, dakrenovatie, dakreparatie, zinkwerk, dakisolatie, dakonderhoud, dakinspectie;"""title: Dakservice Van Gelder - Professionele Dakdekker Nederland";meta beschrijving aanwezig;H1 aanwezig;schema.org afwezig
Dakspecialist Vriezen;dakspecialist-vriezen.nl;Doetinchem;daklekkage reparatie, dakrenovatie, dakinspectie, dakonderhoud;"""title: Dakdekker in Doetinchem";meta beschrijving aanwezig;H1 aanwezig;schema.org RoofingContractor aanwezig
Top Roof Dakdekkers;toproof-dakdekkers.nl;Amsterdam;dakreparatie, dakrenovatie, dakinspectie, onderhoud, EPDM, TPO;"""title: Dakdekker Amsterdam | Dakreparatie & 24/7 Hulp bij Lekkage";meta beschrijving aanwezig;GEEN H1;schema.org aanwezig (3x)
Dakservice Van Belzen;dakservicevanbelzen.nl;Amstelveen;dakbedekking, dakonderhoud, dakreparatie, gootwerk, platte daken;"""title: Dakspecialist Dakservice Van Belzen | Dakwerken in Noord-Holland";meta beschrijving aanwezig;H1: GEEN (alleen H2s);sitemap.xml aanwezig
Dakservice Van Gelder;dakservice-vangelder.nl;Amsterdam/Almere;dakrenovatie, dakreparatie, dakonderhoud;"""title: Dakservice Van Gelder - Professionele Dakdekker Nederland";meta beschrijving aanwezig;H1 aanwezig;sitemap.xml aanwezig
Dakspecialist Vriezen;dakspecialist-vriezen.nl;Doetinchem;daklekkage reparatie, dakenrenovatie, dakinspectie, onderhoud;"""title: Dakdekker in Doetinchem";meta beschrijving aanwezig;H1: GEEN;sitemap.xml aanwezig
Jouw Dakexpert;dedakdekkeramsterdam.nl;Amsterdam;dakreparaties, isoleren, lekkages verhelpen;"""title: Dakdekker Amsterdam - Jouw Dakexpert";meta beschrijving aanwezig;H1: GEEN;sitemap.xml aanwezig
De Vries Isolatietechniek;devriesisolatie.nl;Almere/Amsterdam;isolatie, subsidie;"""title: Isolatiebedrijf De Vries - Bespaar tot 40% met isolatie & subsidie";meta beschrijving aanwezig;H1: GEEN;H2: GEEN
De Zinkspecialist;dezinkspecialist.nl;Nederland;zinken dakgoot vervangen/repaceren, dakgoten;"""title: Zinken dakgoot vervangen of repareren | De Zinkspecialist";meta beschrijving aanwezig;H1 aanwezig;sitemap.xml aanwezig
Haarlemse Dakservice;haarlemsedakservice.nl;Haarlem;dakdekker, loodgieter, dakvervanging;"""title: Dakdekker- en loodgietersbedrijf | 20 jaar ervaring - Haarlemse Dakservice";meta beschrijving aanwezig;H1 aanwezig;sitemap.xml aanwezig
ISA Loodgieter;isa-loodgieters.nl;Amsterdam;cv, lekkages, verstoppingen, renovaties, loodgieterswerk;"""title: Loodgieter Amsterdam | 24/7 bereikbaar | Geen Voorrijkosten!";meta beschrijving aanwezig;H1 aanwezig;sitemap.xml aanwezig
Dakdekkersbedrijf John Foppen B.V.;johnfoppen.nl;Haarlem;dakwerkzaamheden, dakreparatie, dakisolatie;"""title: Foppen voor een goed dak boven uw hoofd - Dakdekkersbedrijf John Foppen B.V. - Haarlem";meta beschrijving aanwezig;H1 aanwezig (2x);sitemap.xml: GEEN
KLOMP BV;klompbv.nl;Amsterdam;energie, daktechniek, installatietechniek, beheer en onderhoud;"""title: KLOMP BV - Klomp doordacht duurzaam";meta beschrijving aanwezig;H1 aanwezig (2x);sitemap.xml aanwezig
MrDakdekker;mrdakdekkeramsterdam.nl;Amsterdam;dakreparatie, dakinspectie, dakonderhoud, spoedservice;"""title: Dakdekker Amsterdam · Gratis Dakinspectie · Snel Geholpen · 24/7 · 020 290 34 46";meta beschrijving aanwezig;H1 aanwezig;sitemap.xml aanwezig
MrDakdekker;mrdakdekkeramstelveen.nl;Amstelveen;dakreparatie, dakinspectie, dakonderhoud, spoedservice;"""title: Dakdekker Amstelveen · Gratis Dakinspectie · Snel Geholpen · 24/7 · 020 290 34 47";zelfde bedrijf als mrdakdekkeramsterdam.nl;telefoon: 020-2903447;"zelfde structuur"""
MrDakdekker;mrdakdekkerdiemen.nl;Diemen;dakreparatie, dakinspectie, dakonderhoud, spoedservice;"""title: Dakdekker Diemen · Gratis Dakinspectie · Snel Geholpen · 24/7 · 020 290 42 17";zelfde bedrijf als mrdakdekkeramsterdam.nl;telefoon: 020-2904217;"zelfde structuur"""
RDL Loodgieters;dakdekkeramsterdam.nu;Noord-Holland;loodgieterswerk, vloerverwarming, dakdekkers, lekkage, verstopping, cv, riool;"""title: Home - RDL | Loodgieters | Vloerverwarming | Dakdekkers";redirect naar loodgietersbedrijfrdl.nl;meta beschrijving aanwezig;H1 aanwezig
Niet bereikbaar;dakdekkeramsterdam.info;N/A;N/A;"""site niet bereikbaar (timeout)";"mogelijk offline of niet meer actief""";00;site down
Niet bereikbaar;dakamsterdam.nl;N/A;N/A;"""site niet bereikbaar (timeout)";"mogelijk offline of niet meer actief""";00;site down
Rebo Dakwerken;rebodakwerken.nl;Purmerend;dakreparatie, dakrenovatie, pannendak, plat dak, schoorsteen, nokvorst, goot, vogelwering, dakbedekking;title: Dakdekker Noord-Holland | Rebo Dakwerken;meta beschrijving aanwezig;H1 aanwezig;H2 structuur goed (9 H2s)
MBD Dakwerken;mbddakwerken.nl;Zandvoort;dakdekking, platte daken, hellende daken, dakisolatie, lood en zinkwerk, dakkapellen, zinkwerk, daklekkage reparatie;title: Dakdekker Zandvoort | Dakdekkersbedrijf MBD Dakwerken;meta beschrijving aanwezig;H1/H2 structuur goed (1 H1, 15+ H2s);sitemap.xml aanwezig (Yoast SEO, 18 paginas + 14 projecten)
V.D. Hoek Isolatie Groep;vdhoekisolatie.nl;Amsterdam;technische isolatie, akoestisch, brandwerend, dakwerk, algemene isolatie;title: V.D. Hoek Isolatie Groep;meta beschrijving aanwezig;1 H1, 9 H2s;robots.txt aanwezig
Isolatiespecialist;isolatiespecialist.nl;Alphen aan den Rijn;spouwmuurisolatie, dakisolatie, vloerisolatie, gevelisolatie, brandwerend, dakwerk;title: Isolatiebedrijf | #1 in Isoleren | Isolatiespecialist;meta beschrijving aanwezig;0 H1s, 10 H2s;robots.txt 301 redirect
Kok Dak & Wand;kokdakwand.nl;Zeewolde;dak- en wandbeplating, gevelisolatie, brandwerend, asbestverwijdering, CV;title: Dak- en wandbeplating - Kok Dak & Wand;meta beschrijving aanwezig;0 H1s, 4 H2s;robots.txt 301 redirect
Plus Isolatie;plusisolatie.nl;Enschede;spouwmuurisolatie, dakisolatie, vloerisolatie, gevelisolatie, dakwerk;title: Uw Huis Isoleren? | Plus Isolatie;meta beschrijving aanwezig;0 H1s, 1 H2;robots.txt 301 redirect
RDL Loodgieters;loodgietersbedrijfrdl.nl;Haarlem;loodgieterswerk, vloerverwarming, dakdekkers, CV, riool, brandwerend, dakwerk, loodwerk;title: Home - RDL | Loodgieters | Vloerverwarming | Dakdekkers;meta beschrijving aanwezig;0 H1s, 7 H2s;robots.txt aanwezig (1206b)
Prins Dakwerken;prinsdakwerken.nl;N/A;geen actief bedrijf;domeinnaam geparkeerd bij Vimexx (geen website);0;parkeersite Vimexx;2026-07-14
Ambachtdak;ambachtdak.nl;Amsterdam (werkgebied onbekend);dakdekker, dakwerk, dakbedekking;"""title: Ambachtdak";meta beschrijving aanwezig (kort);2x H1;robots.txt: GEEN
Duinkerke Dak & Zink;duinkerkedakenzink.nl;Maarsbergen (Utrecht);zinkwerk, koper, lood, leien, aluminium, dakgoot, dakrenovatie, dakreparatie, dakkapellen, restauratie, nieuwbouw, verbouw, gevelbekleding, monumenten;"""title: Duinkerke Dak & Zink | Specialist zink, koper, lood, leien & aluminium";meta beschrijving aanwezig;H1 tags (3): Duinkerke Dak & Zink, Specialist in dak- en gevelwerk, Actueel;H2 count (13): Kom jij werken bij Duinkerke?, Duurzame dak- en gevelbekleding, Duurzame gevels, daken en dakrestauratie, Onze diensten, Voor welke projecten?, Waarom Duinkerke Dak & Zink?, Neem contact op:
Dakdekker Direct;dakdekkerdirect.nl;Haarlem (2031 DB);dakbedekking, dakrenovatie, dakreparatie, dakisolatie, zink, koper, lood, shingles, pannendak, natuurleien, gootwerk, monumentaal werk, spoedservice;"""title: Dakdekker Haarlem - Dakdekkersbedrijf Dakdekker Direct Haarlem";meta beschrijving aanwezig;H1: Dakdekker Haarlem;H2 count (2): Welkom bij Dakdekker Direct, Werkzaamheden waaronder ook dakbedekking in regio Haarlem
DKH Dakdekkers Amstelveen;dakdekkersamstelveen.nl;Amstelveen;dakbedekking, dakrenovatie, dakreparatie, dakgoot, gootverversing, zinkwerk, loodwerk, EPDM, PVC, TPO, shingles, leien, dakisolatie, dakonderhoud, schoorsteen, vogelwering;"""title: DKH Dakdekkers Amstelveen | Gratis dakinspectie (24/7)";meta beschrijving aanwezig;H1: Full-service dakdekker in Amstelveen (1x);H2 count: 7
Zeegers Dakwerk;zeegersdakwerk.nl;Amstelveen;dakbedekking, dakrenovatie, dakreparatie, dakisolatie, zinkwerk, zinken dakgoten, dakinspectie, daklekkage, dakonderhoud, dakkapel;"""title: Dakdekker Amstelveen en omstreken | Zeegers Dakwerk";meta beschrijving aanwezig;H1: 1 (goed);H2: 14 (uitgebreid)
Dakambacht Guner;dakambachtguner.nl;Almere;"""dakreparatie, dakrenovatie, dakonderhoud, dakbedekking, zonnepanelen, dakramen, dakranden""";"""title: Dakdekker in Almere | Dakambacht Guner";meta beschrijving aanwezig;H1: 1 (goed);H2: 7 (beperkt)
Kewo Dak BV;https://www.kewodak.nl;Amstelveen;Dakrenovatie, Onderhoud platte daken, Verduurzaming, Dakisolatie, Kozijnen, Dakgoten;"SEO score 7/10. Duidelijke title tag: ""Dakrenovatie platte daken voor VvE en zakelijk vastgoed"". Goede meta description met focus op VvE/zakelijk. Niche-focus op platte daken.";1-5;KvK: 92718304 ; Tel: 0172-438 332 
Zinken Dakgoot Specialist;https://www.zinkendakgootspecialist.nl;Amsterdam;Zinken dakgoten, Dakgoten installatie, Dakgoten onderhoud, Dakgoten reparatie, Gotenservice;SEO score 4/10. Geen meta description. Zeer niche: alleen zinken dakgoten. Sterk in long-tail zoekopdrachten.;1;KvK: niet gevonden ; Tel: 020-6880655 
HJ Slierings Dakwerken;https://www.hjslierings.nl;Haarlem;Dakwerk, Dakrenovatie, Dakisolatie, Dakleer, Dakgoot, Stormschade, Leien dakwerk, Nieuwbouw;"SEO score 6/10. Goede title tag met ""Dakwerk Haarlem"". Duidelijke meta description. Traditioneel dakdekkersbedrijf. Bereik ca. 25km rond Haarlem (buiten 25km radius Amsterdam).";2-5;KvK: 27244245 ; Tel: 023-5320 895 / 06-5473 1469 
Leidekkersbedrijf Willem van Boxtel;https://www.willemvanboxtel.nl;Amsterdam;Leien dakwerk, Nieuw leien dak, Dakrenovatie, Onderhoud, Dakraam plaatsing;SEO score 4/10. Geen meta description. Simpele website. Gespecialiseerd in leien dakwerk. Niche specialist.;1;KvK: 3237741 ; Tel: 020-6758940 
Sargentini BV;https://www.sargentini.nl;Amsterdam-West;Loodgieterswerk, Dakbedekking, Dakonderhoud, Verwarming, Cv-ketels, Installateur;SEO score 6/10. Goede meta description met locatie-gericht (Amsterdam-West, Amstelveen, Purmerend, Almere). Hybride bedrijf: loodgieter + dakdekker. Breed aanbod.;1-3;KvK: 34320225 ; Tel: 020-2222627 

DAGRO BV;dagrobv.nl;Groesbeek;dakbedekking, dakrenovatie, dakreparatie, gootwerk;title: DAGRO BV - Dakdekkersbedrijf in Groesbeek en omgeving;meta beschrijving afwezig;H1 aanwezig (1x);schema.org LocalBusiness aanwezig (Yoast SEO);robots.txt niet gecontroleerd;sitemap.xml niet gecontroleerd;telefoon: +31243031080;email: info@dagrobv.nl;telefoonnummer 024-3031080
